"G" "D" "r" "C" "L" "s" "b" "width_H" "center_H" "ss_H" "sss"
"1" 200 16 1.53 20 10000 0.5 0.0625 15.4444578972388 25.8218912827837 0.0167692891446649 0.0335385782893299
"2" 400 16 1.53 20 10000 0.5 0.0625 23.6705153851016 37.9245420570035 0.00713911804767421 0.0142782360953484
"3" 600 16 1.53 20 10000 0.5 0.0625 30.2846004361088 46.2339355864738 0.00436130335066222 0.00872260670132444
"4" 200 16 1.53 20 10000 0.55 0.0625 13.4438061593397 20.2381242787108 0.0221317373456737 0.0402395224466794
"5" 400 16 1.53 20 10000 0.55 0.0625 22.9275037299061 32.6449308992396 0.00760933047091963 0.013835146310763
"6" 600 16 1.53 20 10000 0.55 0.0625 28.4331614680482 41.5938199485968 0.00494777211496154 0.00899594929993007
"7" 200 16 1.53 20 10000 0.6 0.0625 8.84531941022538 15.4906743010354 0.051124956437089 0.0852082607284816
"8" 400 16 1.53 20 10000 0.6 0.0625 17.0803538144863 22.1258547253728 0.0137109095511356 0.0228515159185593
"9" 600 16 1.53 20 10000 0.6 0.0625 24.0783877635188 31.9996834807368 0.00689930243687938 0.011498837394799
"10" 200 16 1.53 20 10000 0.65 0.0625 2.2426458922882 8.80030654065493 0.795313915260386 1.22355986963136
"11" 400 16 1.53 20 10000 0.65 0.0625 2.38374153762284 6.20540121190888 0.703949756007707 1.08299962462724
"12" 600 16 1.53 20 10000 0.65 0.0625 2.14923664792703 8.14524834537895 0.865947407945341 1.33222678145437
"13" 200 16 1.53 20 10000 0.7 0.0625 1.7135841367138 11.760597304628 1.3622258745957 1.94603696370814
"14" 400 16 1.53 20 10000 0.7 0.0625 1.81926524194349 11.7741311432826 1.20855925087809 1.72651321554013
"15" 600 16 1.53 20 10000 0.7 0.0625 2.00951769901294 14.5224733539731 0.990549812394751 1.41507116056393
"16" 200 16 1.53 20 10000 0.75 0.0625 1.62169788327507 7.49295442894292 1.52096805151653 2.02795740202203
"17" 400 16 1.53 20 10000 0.75 0.0625 1.75945516900129 8.4579210470828 1.29212217683559 1.72282956911412
"18" 600 16 1.53 20 10000 0.75 0.0625 1.77483288636718 8.53116692990079 1.2698284608879 1.6931046145172
"19" 200 16 1.53 20 10000 0.8 0.0625 1.55809648274229 5.80425379433081 1.64767403140627 2.05959253925783
"20" 400 16 1.53 20 10000 0.8 0.0625 2.31760566480939 5.4615580768711 0.744699228440514 0.930874035550643
"21" 600 16 1.53 20 10000 0.8 0.0625 1.87835978552023 5.18883482845291 1.13371117611014 1.41713897013768
